id,class
1,장식장
2,TV거실장
3,거실테이블
4,사이드테이블
5,소파
6,거실의자
7,좌식의자
8,흔들의자
9,독서실책상
10,사무용 책상
11,일자형책상
12,협탁
13,캐비닛
14,책장
15,사무용의자
16,벤치
17,야외용의자(선베드)
18,"주방수납장(상부, 하부장)"
19,싱크대
20,침대
21,식탁
22,서랍장
23,스툴
24,옷장
25,2층침대
26,화장대(+거울)
27,공기청정기
28,스탠드에어컨
29,벽걸이에어컨
30,잔디깎이
31,가습기
32,제습기
33,스탠드형 선풍기
34,천장형 선풍기
35,전기히터
36,라디에이터
37,서큘레이터
38,환풍기
39,전자레인지
40,가스레인지
41,가스레인지후드
42,믹서기 및 착즙기
43,오븐
44,에어프라이어
45,커피머신
46,전기밥솥
47,전기그릴
48,전기포트
49,토스터기
50,와인셀러
51,냉장고
52,김치냉장고
53,식기세척기
54,와플팬
55,음식물처리기
56,정수기(이온수기 포함)
57,통돌이세탁기
58,드럼세탁기
59,다리미
60,재봉틀
61,일반청소기
62,무선청소기
63,핸디형청소기
64,로봇청소기
65,TV
66,브라운관TV
67,빔프로젝터
68,DSLR 카메라
69,폴라로이드 카메라
70,디지털카메라
71,삼각대
72,캠코더
73,VR기기
74,리모콘
75,모니터(모니터 액세서리 포함)
76,노트북컴퓨터
77,태블릿PC 
78,스마트폰
79,휴대전화플립형
80,스마트워치
81,휴대기기 보조배터리
82,키보드
83,타자기
84,마우스
85,프린터기
86,복합기
87,데스크탑컴퓨터
88,"휴대전화(바형, 버튼식)"
89,스캐너
90,유심카드
91,USB
92,가정용유선전화기
93,가정용무선전화기
94,홈네트워크단말기
95,전기면도기
96,헤어드라이어
97,헤어스타일링 기기(고데기)
98,안마의자
99,손 건조기
100,손 소독기
101,내비게이션
102,주차정산기
103,스피커
104,LP플레이어
105,CD플레이어
106,오디오
107,유선이어폰
108,MP3 플레이어
109,라디오
110,무선이어폰
111,헤드폰
112,마이크
113,디지털도어록
114,CCTV
115,지문인식기
116,신용카드 매출발행기
117,현금인출기
118,자판기
119,POS 바코드 스캐너
120,드론
121,거리측정기(골프용)
122,주방용 보관용기
123,머그컵
124,찻잔
125,물병
126,텀블러
127,맥주잔
128,보울(그릇)
129,감자칼
130,갈릭프레스
131,칵테일쉐이커
132,와인잔
133,와인오프너
134,와인디캔터
135,접시거치대
136,절구
137,도시락(용기)
138,비닐봉지
139,쟁반/트레이
140,얼음틀
141,냄비
142,가마솥
143,프라이팬/후라이팬
144,도마
145,숟가락
146,포크
147,젓가락
148,국자
149,주걱
150,주방용칼
151,채칼
152,빵칼
153,멀티쿠커
154,고무장갑
155,계량컵
156,저울
157,주전자/티포트
158,종이컵
159,식판
160,물티슈
161,앞치마
162,석쇠
163,항아리
164,음료용 빨대
165,비커
166,병따개
167,병뚜껑
168,부탄가스
169,일반칫솔
170,전동칫솔
171,치간칫솔
172,치실
173,세면대
174,변기
175,욕조
176,비데
177,샤워헤드(샤워기+호스)
178,수도꼭지
179,휴지걸이
180,변기솔
181,두루마리휴지
182,각티슈
183,치약
184,디스펜서
185,휠체어
186,지팡이
187,목발
188,체중계
189,신장계
190,산소마스크
191,온도계
192,체온계
193,구급상자
194,일회용밴드(대일밴드)
195,연고
